rental_id,fk_rental_contact_id,price,duration_type,fitting_date,pick_up_date,due_date,user_signature,user_sign_date,parent_guardian_signature,parent_guardian_sign_date,pick_up_signature,pick_up_sign_date,rental_contact_initial,ski_technician_signature,assisting_staff_fullname
24,96,409.98,Season,12/21/2019,12/27/2019,5/1/2020 12:00,Amelie Dupont,12/21/2019,Amelie Dupont,12/21/2019,Amelie Dupont,12/27/2019,AD,Nathan Giboney,Nathan Giboney
25,3,205,Daily,12/4/2020,12/4/2020,12/6/2020 12:00,Gabriel Carter,12/4/2020,Gabriel Carter,12/4/2020,Gabriel Carter,12/4/2020,GC,Riley Lathrop,Riley Lathrop
26,19,70,Daily,12/21/2021,12/21/2021,12/23/2021 12:00,Rafael Lima,12/21/2021,Rafael Lima,12/21/2021,Rafael Lima,12/21/2021,RL,Razi Muzaffar,Razi Muzaffar
27,25,105,Daily,3/25/2022,3/25/2022,3/27/2022 12:00,Ruby Foster,3/25/2022,Ruby Foster,3/25/2022,Ruby Foster,3/25/2022,RF,Riley Lathrop,Riley Lathrop
28,11,230,Daily,2/15/2023,2/15/2023,2/17/2023 12:00,Ethan Reed,2/15/2023,Ethan Reed,2/15/2023,Ethan Reed,2/15/2023,ER,Razi Muzaffar,Razi Muzaffar
29,89,279.99,Season,2/20/2023,2/20/2023,5/1/2023 12:00,Penelope Phillips,2/20/2023,Penelope Phillips,2/20/2023,Penelope Phillips,2/20/2023,PP,Jordan Weiss,Jordan Weiss
30,10,45,Daily,4/7/2020,4/7/2020,4/9/2020 12:00,Christopher Martin,4/7/2020,Christopher Martin,4/7/2020,Christopher Martin,4/7/2020,CM,Jude Willcox,Jude Willcox
31,64,70,Daily,2/15/2023,2/15/2023,2/17/2023 12:00,Daniel Lee,2/15/2023,Daniel Lee,2/15/2023,Daniel Lee,2/15/2023,DL,Kevin Baron,Kevin Baron
32,85,159.99,Season,3/24/2022,3/27/2022,5/1/2022 12:00,William Rodriguez,3/24/2022,William Rodriguez,3/24/2022,William Rodriguez,3/27/2022,WR,Riley Lathrop,Riley Lathrop
33,1,55,Daily,12/12/2020,12/12/2020,12/14/2020 12:00,Emma Johansson,12/12/2020,Emma Johansson,12/12/2020,Emma Johansson,12/12/2020,EJ,Jude Willcox,Jude Willcox
34,85,219.99,Season,4/3/2023,4/3/2023,5/1/2023 12:00,William Rodriguez,4/3/2023,William Rodriguez,4/3/2023,William Rodriguez,4/3/2023,WR,Carter Ash,Carter Ash
35,2,105,Daily,12/3/2020,12/3/2020,12/5/2020 12:00,Omar Ali,12/3/2020,Omar Ali,12/3/2020,Omar Ali,12/3/2020,OA,Jake Lathrop,Jake Lathrop
36,29,95,Daily,3/4/2022,3/4/2022,3/6/2022 12:00,Natalie Carter,3/4/2022,Natalie Carter,3/4/2022,Natalie Carter,3/4/2022,NC,Bryson Barradale,Bryson Barradale
37,93,95,Daily,12/29/2022,12/29/2022,12/31/2022 12:00,Leonardo Costa,12/29/2022,Leonardo Costa,12/29/2022,Leonardo Costa,12/29/2022,LC,Kevin Baron,Kevin Baron
38,73,45,Daily,2/17/2023,2/17/2023,2/19/2023 12:00,Isabella Martinez,2/17/2023,Isabella Martinez,2/17/2023,Isabella Martinez,2/17/2023,IM,Jake Lathrop,Jake Lathrop
39,88,109.99,Season,12/24/2022,12/24/2022,5/1/2023 12:00,Sofia Alves,12/24/2022,Sofia Alves,12/24/2022,Sofia Alves,12/24/2022,SA,Razi Muzaffar,Razi Muzaffar
40,12,509.98,Season,12/15/2022,12/15/2022,5/1/2023 12:00,Scarlett Mitchell,12/15/2022,Scarlett Mitchell,12/15/2022,Scarlett Mitchell,12/15/2022,SM,Jordan Weiss,Jordan Weiss
41,80,60,Daily,3/2/2022,3/2/2022,3/4/2022 12:00,Jakob Jensen,3/2/2022,Jakob Jensen,3/2/2022,Jakob Jensen,3/2/2022,JJ,Razi Muzaffar,Razi Muzaffar
42,50,419.98,Season,12/9/2021,12/9/2021,5/1/2022 12:00,Maria Hernandez,12/9/2021,Maria Hernandez,12/9/2021,Maria Hernandez,12/9/2021,MH,Nathan Giboney,Nathan Giboney
43,81,319.98,Season,3/1/2021,3/1/2021,5/1/2021 12:00,Harper White,3/1/2021,Harper White,3/1/2021,Harper White,3/1/2021,HW,Jordan Weiss,Jordan Weiss
44,36,80,Weekly,2/15/2023,2/15/2023,2/22/2023 12:00,Lila Patel,2/15/2023,Lila Patel,2/15/2023,Lila Patel,2/15/2023,LP,Razi Muzaffar,Razi Muzaffar
45,62,50,Daily,3/26/2020,3/26/2020,3/28/2020 12:00,Layla Ahmed,3/26/2020,Layla Ahmed,3/26/2020,Layla Ahmed,3/26/2020,LA,Jordan Weiss,Jordan Weiss
46,91,30,Daily,1/31/2020,1/31/2020,2/2/2020 12:00,Alejandra Torres,1/31/2020,Alejandra Torres,1/31/2020,Alejandra Torres,1/31/2020,AT,Riley Lathrop,Riley Lathrop
47,57,45,Daily,3/2/2023,3/2/2023,3/4/2023 12:00,Abdul Rahman,3/2/2023,Abdul Rahman,3/2/2023,Abdul Rahman,3/2/2023,AR,Jude Willcox,Jude Willcox
48,79,199.98,Season,1/9/2022,1/9/2022,5/1/2022 12:00,David Brown,1/9/2022,David Brown,1/9/2022,David Brown,1/9/2022,DB,Nathan Giboney,Nathan Giboney
49,48,35,Daily,4/15/2020,4/15/2020,4/17/2020 12:00,Elena Ivanova,4/15/2020,Elena Ivanova,4/15/2020,Elena Ivanova,4/15/2020,EI,Jude Willcox,Jude Willcox
50,55,125,Weekly,3/3/2023,3/3/2023,3/10/2023 12:00,Nathaniel Cook,3/3/2023,Nathaniel Cook,3/3/2023,Nathaniel Cook,3/3/2023,NC,Jordan Weiss,Jordan Weiss
51,3,199.99,Season,12/8/2022,12/8/2022,5/1/2023 12:00,Gabriel Carter,12/8/2022,Gabriel Carter,12/8/2022,Gabriel Carter,12/8/2022,GC,Carter Ash,Carter Ash
52,17,439.98,Season,3/1/2021,3/1/2021,5/1/2021 12:00,Amir Shah,3/1/2021,Amir Shah,3/1/2021,Amir Shah,3/1/2021,AS,Jordan Weiss,Jordan Weiss
53,82,160,Daily,1/25/2020,1/25/2020,1/27/2020 12:00,Amelia Allen,1/25/2020,Amelia Allen,1/25/2020,Amelia Allen,1/25/2020,AA,Nathan Giboney,Nathan Giboney
54,72,25,Daily,2/4/2021,2/4/2021,2/6/2021 12:00,Cameron Davis,2/4/2021,Cameron Davis,2/4/2021,Cameron Davis,2/4/2021,CD,Carter Ash,Carter Ash
55,39,479.98,Season,12/18/2021,12/18/2021,5/1/2022 12:00,Isabella Hernandez,12/18/2021,Isabella Hernandez,12/18/2021,Isabella Hernandez,12/18/2021,IH,Bryson Barradale,Bryson Barradale
56,88,65,Daily,12/31/2019,12/31/2019,1/2/2020 12:00,Sofia Alves,12/31/2019,Sofia Alves,12/31/2019,Sofia Alves,12/31/2019,SA,Curtis Fountain,Curtis Fountain
57,7,125,Daily,4/11/2022,4/11/2022,4/13/2022 12:00,Olivia Brown,4/11/2022,Olivia Brown,4/11/2022,Olivia Brown,4/11/2022,OB,Riley Lathrop,Riley Lathrop
58,3,65,Daily,4/8/2022,4/8/2022,4/10/2022 12:00,Gabriel Carter,4/8/2022,Gabriel Carter,4/8/2022,Gabriel Carter,4/8/2022,GC,Jude Willcox,Jude Willcox
59,50,60,Daily,3/28/2022,3/28/2022,3/30/2022 12:00,Maria Hernandez,3/28/2022,Maria Hernandez,3/28/2022,Maria Hernandez,3/28/2022,MH,Jake Lathrop,Jake Lathrop
60,16,79.99,Season,3/5/2022,3/5/2022,5/1/2022 12:00,Sophia Edwards,3/5/2022,Sophia Edwards,3/5/2022,Sophia Edwards,3/5/2022,SE,Nathan Giboney,Nathan Giboney
61,56,85,Daily,2/4/2022,2/4/2022,2/6/2022 12:00,Olivia Clark,2/4/2022,Olivia Clark,2/4/2022,Olivia Clark,2/4/2022,OC,Riley Lathrop,Riley Lathrop
62,53,509.98,Season,12/20/2022,12/20/2022,5/1/2023 12:00,Federico Rossi,12/20/2022,Federico Rossi,12/20/2022,Federico Rossi,12/20/2022,FR,John Florendo,John Florendo
63,66,75,Daily,1/7/2023,1/7/2023,1/9/2023 12:00,Anaya Singh,1/7/2023,Anaya Singh,1/7/2023,Anaya Singh,1/7/2023,AS,Jake Lathrop,Jake Lathrop
64,82,209.99,Season,1/20/2023,1/20/2023,5/1/2023 12:00,Amelia Allen,1/20/2023,Amelia Allen,1/20/2023,Amelia Allen,1/20/2023,AA,Carter Ash,Carter Ash
65,91,269.99,Season,1/12/2023,1/12/2023,5/1/2023 12:00,Alejandra Torres,1/12/2023,Alejandra Torres,1/12/2023,Alejandra Torres,1/12/2023,AT,Curtis Fountain,Curtis Fountain
66,37,119.99,Season,2/28/2021,2/28/2021,5/1/2021 12:00,Santiago Ramirez,2/28/2021,Santiago Ramirez,2/28/2021,Santiago Ramirez,2/28/2021,SR,Bryson Barradale,Bryson Barradale
67,46,339.98,Season,12/11/2022,12/11/2022,5/1/2023 12:00,Jacob Reed,12/11/2022,Jacob Reed,12/11/2022,Jacob Reed,12/11/2022,JR,Jake Lathrop,Jake Lathrop
68,42,239.99,Season,3/23/2023,3/23/2023,5/1/2023 12:00,Madison Reyes,3/23/2023,Madison Reyes,3/23/2023,Madison Reyes,3/23/2023,MR,Jake Lathrop,Jake Lathrop
69,19,55,Daily,2/21/2023,2/21/2023,2/23/2023 12:00,Rafael Lima,2/21/2023,Rafael Lima,2/21/2023,Rafael Lima,2/21/2023,RL,Kevin Baron,Kevin Baron
70,67,40,Daily,2/1/2023,2/1/2023,2/3/2023 12:00,Malika Shah,2/1/2023,Malika Shah,2/1/2023,Malika Shah,2/1/2023,MS,Carter Ash,Carter Ash
71,87,60,Daily,2/6/2021,2/6/2021,2/8/2021 12:00,Owen Wilson,2/6/2021,Owen Wilson,2/6/2021,Owen Wilson,2/6/2021,OW,Riley Lathrop,Riley Lathrop
72,89,165,Daily,12/28/2022,12/28/2022,12/30/2022 12:00,Penelope Phillips,12/28/2022,Penelope Phillips,12/28/2022,Penelope Phillips,12/28/2022,PP,Riley Lathrop,Riley Lathrop
73,43,95,Daily,1/25/2022,1/25/2022,1/27/2022 17:00,Sarah Taylor,1/25/2022,Sarah Taylor,1/25/2022,Sarah Taylor,1/25/2022,ST,Kevin Baron,Kevin Baron
74,11,269.98,Season,3/1/2022,3/1/2022,5/1/2022 12:00,Ethan Reed,3/1/2022,Ethan Reed,3/1/2022,Ethan Reed,3/1/2022,ER,Nathan Giboney,Nathan Giboney
75,10,55,Daily,12/11/2021,12/11/2021,12/13/2021 12:00,Christopher Martin,12/11/2021,Christopher Martin,12/11/2021,Christopher Martin,12/11/2021,CM,Nathan Giboney,Nathan Giboney
76,52,259.99,Season,1/14/2022,1/14/2022,5/1/2022 12:00,Omar Elsayed,1/14/2022,Omar Elsayed,1/14/2022,Omar Elsayed,1/14/2022,OE,Kevin Baron,Kevin Baron
77,30,549.98,Season,1/25/2021,1/25/2021,5/1/2021 12:00,Ana Silva,1/25/2021,Ana Silva,1/25/2021,Ana Silva,1/25/2021,AS,Razi Muzaffar,Razi Muzaffar
78,53,75,Daily,1/1/2021,1/1/2021,1/3/2021 12:00,Federico Rossi,1/1/2021,Federico Rossi,1/1/2021,Federico Rossi,1/1/2021,FR,Jordan Weiss,Jordan Weiss
79,46,119.99,Season,12/1/2022,12/1/2022,5/1/2023 12:00,Jacob Reed,12/1/2022,Jacob Reed,12/1/2022,Jacob Reed,12/1/2022,JR,Jake Lathrop,Jake Lathrop
80,62,199.99,Season,3/14/2023,3/14/2023,5/1/2023 12:00,Layla Ahmed,3/14/2023,Layla Ahmed,3/14/2023,Layla Ahmed,3/14/2023,LA,Bryce Peters,Bryce Peters
81,39,85,Daily,2/6/2022,2/6/2022,2/8/2022 12:00,Isabella Hernandez,2/6/2022,Isabella Hernandez,2/6/2022,Isabella Hernandez,2/6/2022,IH,Nathan Giboney,Nathan Giboney
82,23,219.99,Season,12/9/2019,12/9/2019,5/1/2020 12:00,Mustafa Amin,12/9/2019,Mustafa Amin,12/9/2019,Mustafa Amin,12/9/2019,MA,Kevin Baron,Kevin Baron
83,46,90,Weekly,2/9/2023,2/9/2023,2/16/2023 12:00,Jacob Reed,2/9/2023,Jacob Reed,2/9/2023,Jacob Reed,2/9/2023,JR,Jude Willcox,Jude Willcox
84,17,439.98,Season,4/14/2021,4/17/2021,5/1/2021 12:00,Amir Shah,4/14/2021,Amir Shah,4/14/2021,Amir Shah,4/17/2021,AS,Bryce Peters,Bryce Peters
85,54,60,Daily,2/13/2023,2/13/2023,2/15/2023 12:00,Samuel Turner,2/13/2023,Samuel Turner,2/13/2023,Samuel Turner,2/13/2023,ST,Curtis Fountain,Curtis Fountain
86,46,40,Daily,1/13/2020,1/13/2020,1/15/2020 12:00,Jacob Reed,1/13/2020,Jacob Reed,1/13/2020,Jacob Reed,1/13/2020,JR,Jude Willcox,Jude Willcox
87,21,529.98,Season,3/23/2023,3/23/2023,5/1/2023 12:00,Marwa Mahmoud,3/23/2023,Marwa Mahmoud,3/23/2023,Marwa Mahmoud,3/23/2023,MM,Jordan Weiss,Jordan Weiss
88,13,249.98,Season,2/21/2021,2/21/2021,5/1/2021 12:00,Alessia Moretti,2/21/2021,Alessia Moretti,2/21/2021,Alessia Moretti,2/21/2021,AM,Jude Willcox,Jude Willcox
89,84,30,Daily,2/28/2021,3/1/2021,3/3/2021 16:00,Elena Andreeva,2/28/2021,Elena Andreeva,2/28/2021,Elena Andreeva,3/1/2021,EA,Kevin Baron,Kevin Baron
90,25,85,Daily,3/18/2022,3/18/2022,3/20/2022 12:00,Ruby Foster,3/18/2022,Ruby Foster,3/18/2022,Ruby Foster,3/18/2022,RF,Kevin Baron,Kevin Baron
91,63,99.99,Season,2/9/2022,2/9/2022,5/1/2022 12:00,Christopher Wright,2/9/2022,Christopher Wright,2/9/2022,Christopher Wright,2/9/2022,CW,Jordan Weiss,Jordan Weiss
92,34,489.98,Season,2/7/2021,2/7/2021,5/1/2021 12:00,Avery Mitchell,2/7/2021,Avery Mitchell,2/7/2021,Avery Mitchell,2/7/2021,AM,Jude Willcox,Jude Willcox
93,59,120,Daily,1/2/2022,1/2/2022,1/4/2022 12:00,Audrey Walker,1/2/2022,Audrey Walker,1/2/2022,Audrey Walker,1/2/2022,AW,Jude Willcox,Jude Willcox
94,43,100,Daily,2/18/2022,2/18/2022,2/20/2022 12:00,Sarah Taylor,2/18/2022,Sarah Taylor,2/18/2022,Sarah Taylor,2/18/2022,ST,Bryson Barradale,Bryson Barradale
95,46,689.97,Season,4/6/2022,4/6/2022,5/1/2022 12:00,Jacob Reed,4/6/2022,Jacob Reed,4/6/2022,Jacob Reed,4/6/2022,JR,Curtis Fountain,Curtis Fountain
96,70,209.99,Season,3/20/2021,3/20/2021,5/1/2021 12:00,Matthew Lewis,3/20/2021,Matthew Lewis,3/20/2021,Matthew Lewis,3/20/2021,ML,Jordan Weiss,Jordan Weiss
97,78,60,Daily,2/5/2023,2/5/2023,2/7/2023 18:00,Ahmed Hassan,2/5/2023,Ahmed Hassan,2/5/2023,Ahmed Hassan,2/5/2023,AH,Jake Lathrop,Jake Lathrop
98,92,109.99,Season,1/21/2023,1/21/2023,5/1/2023 12:00,Sofia Santos,1/21/2023,Sofia Santos,1/21/2023,Sofia Santos,1/21/2023,SS,Jake Lathrop,Jake Lathrop
99,32,175,Weekly,3/15/2022,3/15/2022,3/22/2022 12:00,Noah Anderson,3/15/2022,Noah Anderson,3/15/2022,Noah Anderson,3/15/2022,NA,Kevin Baron,Kevin Baron
100,75,269.99,Season,12/4/2022,12/4/2022,5/1/2023 12:00,Hugo Silva,12/4/2022,Hugo Silva,12/4/2022,Hugo Silva,12/4/2022,HS,Razi Muzaffar,Razi Muzaffar
101,72,299.99,Season,1/20/2023,1/24/2023,5/1/2023 12:00,Cameron Davis,1/20/2023,Cameron Davis,1/20/2023,Cameron Davis,1/24/2023,CD,Jordan Weiss,Jordan Weiss
102,59,60,Daily,2/10/2021,2/10/2021,2/12/2021 12:00,Audrey Walker,2/10/2021,Audrey Walker,2/10/2021,Audrey Walker,2/10/2021,AW,Bryson Barradale,Bryson Barradale
103,94,219.99,Season,12/31/2020,12/31/2020,5/1/2021 12:00,Gabriella Hill,12/31/2020,Gabriella Hill,12/31/2020,Gabriella Hill,12/31/2020,GH,Kevin Baron,Kevin Baron
104,64,95,Daily,2/22/2023,2/22/2023,2/24/2023 12:00,Daniel Lee,2/22/2023,Daniel Lee,2/22/2023,Daniel Lee,2/22/2023,DL,Jude Willcox,Jude Willcox
105,87,50,Daily,12/20/2019,12/20/2019,12/22/2019 12:00,Owen Wilson,12/20/2019,Owen Wilson,12/20/2019,Owen Wilson,12/20/2019,OW,Carter Ash,Carter Ash
106,97,429.98,Season,4/11/2023,4/11/2023,5/1/2023 12:00,Renata Costa,4/11/2023,Renata Costa,4/11/2023,Renata Costa,4/11/2023,RC,Razi Muzaffar,Razi Muzaffar
107,31,60,Daily,1/2/2023,1/2/2023,1/4/2023 16:00,Hailey Morris,1/2/2023,Hailey Morris,1/2/2023,Hailey Morris,1/2/2023,HM,Jude Willcox,Jude Willcox
108,72,529.98,Season,1/7/2022,1/7/2022,5/1/2022 12:00,Cameron Davis,1/7/2022,Cameron Davis,1/7/2022,Cameron Davis,1/7/2022,CD,John Florendo,John Florendo
109,40,80,Daily,2/10/2022,2/10/2022,2/12/2022 12:00,Elijah Rivera,2/10/2022,Elijah Rivera,2/10/2022,Elijah Rivera,2/10/2022,ER,Curtis Fountain,Curtis Fountain
110,17,170,Daily,3/4/2021,3/4/2021,3/6/2021 12:00,Amir Shah,3/4/2021,Amir Shah,3/4/2021,Amir Shah,3/4/2021,AS,Kevin Baron,Kevin Baron
111,67,105,Daily,3/15/2020,3/15/2020,3/17/2020 12:00,Malika Shah,3/15/2020,Malika Shah,3/15/2020,Malika Shah,3/15/2020,MS,Nathan Giboney,Nathan Giboney
112,25,259.99,Season,1/9/2023,1/9/2023,5/1/2023 12:00,Ruby Foster,1/9/2023,Ruby Foster,1/9/2023,Ruby Foster,1/9/2023,RF,John Florendo,John Florendo
113,55,149.99,Season,4/4/2021,4/4/2021,5/1/2021 12:00,Nathaniel Cook,4/4/2021,Nathaniel Cook,4/4/2021,Nathaniel Cook,4/4/2021,NC,Nathan Giboney,Nathan Giboney
114,23,30,Daily,12/27/2022,12/27/2022,12/29/2022 12:00,Mustafa Amin,12/27/2022,Mustafa Amin,12/27/2022,Mustafa Amin,12/27/2022,MA,Riley Lathrop,Riley Lathrop
115,53,55,Daily,12/4/2021,12/4/2021,12/6/2021 12:00,Federico Rossi,12/4/2021,Federico Rossi,12/4/2021,Federico Rossi,12/4/2021,FR,Bryson Barradale,Bryson Barradale
116,98,479.98,Season,3/4/2022,3/4/2022,5/1/2022 12:00,Yusuf Abbas,3/4/2022,Yusuf Abbas,3/4/2022,Yusuf Abbas,3/4/2022,YA,Bryce Peters,Bryce Peters
117,8,249.99,Season,12/3/2021,12/3/2021,5/1/2022 12:00,Brandon Brown,12/3/2021,Brandon Brown,12/3/2021,Brandon Brown,12/3/2021,BB,John Florendo,John Florendo
118,24,399.98,Season,12/30/2021,12/30/2021,5/1/2022 12:00,Miguel Rodriguez,12/30/2021,Miguel Rodriguez,12/30/2021,Miguel Rodriguez,12/30/2021,MR,John Florendo,John Florendo
119,83,269.98,Season,12/30/2020,12/30/2020,5/1/2021 12:00,Caleb King,12/30/2020,Caleb King,12/30/2020,Caleb King,12/30/2020,CK,Carter Ash,Carter Ash
120,84,109.99,Season,4/11/2021,4/11/2021,5/1/2021 12:00,Elena Andreeva,4/11/2021,Elena Andreeva,4/11/2021,Elena Andreeva,4/11/2021,EA,Jude Willcox,Jude Willcox
121,35,239.99,Season,4/4/2020,4/10/2020,5/1/2020 12:00,Niklas Berg,4/4/2020,Niklas Berg,4/4/2020,Niklas Berg,4/10/2020,NB,Jordan Weiss,Jordan Weiss
122,42,429.98,Season,12/26/2021,12/26/2021,5/1/2022 12:00,Madison Reyes,12/26/2021,Madison Reyes,12/26/2021,Madison Reyes,12/26/2021,MR,Carter Ash,Carter Ash
123,68,80,Daily,2/6/2023,2/6/2023,2/8/2023 12:00,Leah Ross,2/6/2023,Leah Ross,2/6/2023,Leah Ross,2/6/2023,LR,Nathan Giboney,Nathan Giboney
124,48,459.98,Season,2/21/2022,2/21/2022,5/1/2022 12:00,Elena Ivanova,2/21/2022,Elena Ivanova,2/21/2022,Elena Ivanova,2/21/2022,EI,Jake Lathrop,Jake Lathrop
125,55,65,Daily,3/10/2021,3/10/2021,3/12/2021 12:00,Nathaniel Cook,3/10/2021,Nathaniel Cook,3/10/2021,Nathaniel Cook,3/10/2021,NC,John Florendo,John Florendo
126,25,199.98,Season,2/11/2022,2/11/2022,5/1/2022 12:00,Ruby Foster,2/11/2022,Ruby Foster,2/11/2022,Ruby Foster,2/11/2022,RF,Kevin Baron,Kevin Baron
127,36,219.99,Season,12/24/2020,12/24/2020,5/1/2021 12:00,Lila Patel,12/24/2020,Lila Patel,12/24/2020,Lila Patel,12/24/2020,LP,Razi Muzaffar,Razi Muzaffar
128,55,189.99,Season,3/12/2023,3/17/2023,5/1/2023 12:00,Nathaniel Cook,3/12/2023,Nathaniel Cook,3/12/2023,Nathaniel Cook,3/17/2023,NC,Jake Lathrop,Jake Lathrop
129,91,105,Daily,2/9/2022,2/9/2022,2/11/2022 12:00,Alejandra Torres,2/9/2022,Alejandra Torres,2/9/2022,Alejandra Torres,2/9/2022,AT,Bryson Barradale,Bryson Barradale
130,3,409.98,Season,2/22/2023,2/22/2023,5/1/2023 12:00,Gabriel Carter,2/22/2023,Gabriel Carter,2/22/2023,Gabriel Carter,2/22/2023,GC,Jake Lathrop,Jake Lathrop
131,1,199.99,Season,1/30/2023,2/5/2023,5/1/2023 12:00,Emma Johansson,1/30/2023,Emma Johansson,1/30/2023,Emma Johansson,2/5/2023,EJ,Riley Lathrop,Riley Lathrop
132,26,339.98,Season,4/3/2022,4/4/2022,5/1/2022 12:00,Emily Johnson,4/3/2022,Emily Johnson,4/3/2022,Emily Johnson,4/4/2022,EJ,John Florendo,John Florendo
133,20,269.98,Season,4/8/2023,4/8/2023,5/1/2023 12:00,Joseph Perez,4/8/2023,Joseph Perez,4/8/2023,Joseph Perez,4/8/2023,JP,Razi Muzaffar,Razi Muzaffar
134,72,119.99,Season,3/11/2021,3/17/2021,5/1/2021 12:00,Cameron Davis,3/11/2021,Cameron Davis,3/11/2021,Cameron Davis,3/17/2021,CD,Riley Lathrop,Riley Lathrop
135,59,170,Daily,1/6/2023,1/6/2023,1/8/2023 12:00,Audrey Walker,1/6/2023,Audrey Walker,1/6/2023,Audrey Walker,1/6/2023,AW,Jude Willcox,Jude Willcox
